subbasin,huc8,area_m2,huc8_id,pca_name,internal_mwh,colocation_mwh,hyperscale_mwh,total_mwh,scarcity_factor,plant_state,lat,lon,primary_fuel,co2_tons,water_intensity_m3_per_mwh,carbon_intensity_tons_per_mwh,water_footprint,carbon_footprint
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.503431,-70.249137,HYDRO,0.0,82.28205953338700,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.111236,-70.390673,HYDRO,0.0,9.99308530051785,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.067792,-70.260831,BIOMASS,38854.106,1.93755189619717,2.4884146278980400,348954.6336559990,5862935.569429600
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.477807,-70.200759,HYDRO,0.0,7.451348064294090,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,43.957448,-70.024158,HYDRO,0.0,13.18216713684500,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.633611,-70.627777,WIND,0.0,0.0038,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.431667,-70.1619,BIOMASS,7496.023,1.93755189619717,0.033574103767669300,348954.6336559990,79103.7012017011
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.5513,-70.5414,BIOMASS,110452.101,1.93755189619717,0.1877147351139690,348954.6336559990,442273.31935248500
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.5486,-70.6283,HYDRO,0.0,0.2594988105998890,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.5303,-70.5219,GAS,69837.553,0.797026152611596,0.46428369232814800,348954.6336559990,1093895.4238330200
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.593333,-70.381111,WIND,0.0,0.0038,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.415587,-70.559814,WIND,0.0,0.0038,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.08687,-70.229294,HYDRO,0.0,0.0,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,43.994729,-70.061921,HYDRO,0.0,9.194814242958420,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,NH,44.3889,-71.1645,HYDRO,0.0,0.6811542772998320,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,NH,44.408278,-71.195354,HYDRO,0.0,14.50190801365740,0.0,348954.6336559990,0.0
St. Croix,1050001.0,4261284753.83,1050001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.2671182713572530,ME,45.1554,-67.4012,BIOMASS,20367.468,1.93755189619717,0.05019387063353640,629355.4124088500,118261.41279087800
St. Croix,1050001.0,4261284753.83,1050001,New Brunswick System Operator,1031.1550270380100,30.10465678165560,30.84917728980290,1092.1088611094700,0.2671182713572530,ME,45.1554,-67.4012,BIOMASS,20367.468,1.93755189619717,0.05019387063353640,291.7222311134990,54.81717089226730
